FFMC,BUI,WSV,WindDir,FWIBin,Season,FireRegion
89.5921926,14.17278306,17.54166667,0,1,Spring,All
91.54312872,17.55833707,8.041666667,0,1,Summer,All
91.59299566,18.18838072,14.04166667,0,1,Summer,All
91.64287907,19.60726644,11.5,270,1,Summer,All
91.69277894,21.18277265,11.58333333,0,1,Summer,All
91.74269529,23.3747333,12.33333333,180,2,Summer,All
91.79262812,25.81382561,15.04166667,225,2,Summer,All
91.84257743,28.03126149,9.375,270,2,Summer,All
91.89254324,18.79870599,9.291666667,0,1,Summer,All
91.94252554,19.97368917,7,0,1,Summer,All
91.99252434,11.6206949,11.70833333,0,1,Summer,All
92.04253965,12.36031866,13.25,0,1,Summer,All
91.54692849,10.34435124,16.16666667,180,1,Summer,All
91.74650007,19.06012304,5.958333333,270,1,Summer,All
91.79643416,22.83966313,10.125,270,1,Summer,All
91.84638473,26.30760199,5.583333333,180,1,Summer,All
91.89635179,15.01778898,14.625,90,1,Summer,All
91.94633535,18.28817815,14.125,225,2,Summer,All
91.99633541,20.25336701,10.45833333,0,1,Summer,All
92.04635197,22.15327325,3.75,90,1,Summer,All
92.09638506,24.31690556,8.875,180,1,Summer,All
92.14643465,20.26260186,12.66666667,180,2,Summer,All
92.19650078,22.58189893,3.291666667,180,1,Summer,All
92.29668262,16.33038101,5.166666667,315,1,Summer,All
92.34679834,19.53181723,5,90,1,Summer,All
92.39693062,22.64862281,2,90,1,Summer,All
92.44707944,25.3019532,3.958333333,180,1,Summer,All
92.49724482,18.78654915,10.625,180,1,Summer,All
92.54742676,22.06981146,8.041666667,270,1,Summer,All
92.59762527,19.58545647,3.333333333,135,1,Summer,All
92.64784036,22.55378289,11.58333333,0,2,Summer,All
92.69807202,25.07156273,5.25,225,1,Summer,All
92.74832027,28.04637256,9,315,2,Summer,All
92.7985851,29.90003857,5.708333333,0,2,Summer,All
92.84886653,31.23451247,4.875,90,2,Summer,All
92.89916456,32.88536857,2.916666667,270,1,Summer,All
92.9494792,35.12107642,8.25,135,2,Summer,All
92.99981045,37.92966192,9.583333333,90,3,Summer,All
93.05015831,41.36062471,10.91666667,270,3,Summer,All
93.1005228,43.57678247,3.833333333,90,2,Summer,All
93.15090392,23.24824237,7.375,90,2,Summer,All
93.20130166,25.96436602,6.208333333,90,2,Summer,All
93.25171605,28.75188912,6.5,180,2,Summer,All
93.30214708,24.33644277,11.08333333,180,2,Summer,All
93.35259477,28.97541998,11.125,270,3,Summer,All
93.4030591,32.99794867,14.70833333,270,4,Summer,All
93.4535401,36.1806431,9.958333333,270,3,Summer,All
93.50403776,26.76325579,13.54166667,90,3,Summer,All
93.5545521,30.49336052,16.875,270,4,Summer,All
93.60508311,33.73538378,10.20833333,270,3,Summer,All
93.65563081,35.99635391,2.708333333,90,2,Summer,All
93.70619519,39.15579327,7.333333333,180,3,Summer,All
93.75677627,19.06976189,11.54166667,180,2,Summer,All
93.80737405,15.01028937,14,270,2,Summer,All
93.85798853,11.55607493,5.833333333,270,1,Summer,All
93.90861973,10.79213101,6.958333333,270,1,Summer,All
93.95926763,9.96033531,8.416666667,0,1,Summer,All
94.00993226,12.92882751,6.125,270,1,Summer,All
94.06061362,16.18263287,4.166666667,0,1,Summer,All
94.11131171,19.90153898,4.25,315,1,Summer,All
94.15381463,23.08839816,4.458333333,180,1,Summer,All
94.15202601,26.33505786,11.41666667,270,3,Summer,All
94.15365349,28.8755029,3.5,270,2,Summer,All
94.19173792,31.81844114,7.5,315,3,Summer,All
94.16752518,34.49674629,9.625,180,3,Summer,All
94.11178626,26.18480155,18.5,180,4,Summer,All
94.12062401,18.23203752,9.958333333,315,2,Summer,All
94.12135678,11.51429066,7.166666667,180,1,Summer,All
94.12521065,7.966969114,12.5,315,1,Summer,All
94.13531335,10.0034813,7.833333333,315,1,Summer,All
94.16976412,12.80131169,7.083333333,270,1,Summer,All
94.14491134,15.73912828,10.58333333,180,2,Summer,All
93.9902852,16.86207958,9.333333333,270,2,Summer,All
94.04096007,18.47814943,7.5,315,1,Summer,All
94.09165167,20.18298304,2.458333333,180,1,Summer,All
94.14236001,22.85201063,2.75,315,1,Summer,All
94.17380542,25.74958777,3.791666667,270,2,Summer,All
94.17007797,28.66478078,3.875,270,2,Summer,All
94.18353507,32.02649975,5.75,270,2,Summer,All
94.17688049,35.51287268,10.20833333,225,3,Summer,All
94.1705665,34.357503,11,180,4,Summer,All
94.14288249,20.98890439,10.41666667,270,2,Summer,All
94.16288126,23.67023298,4.666666667,225,2,Summer,All
94.18286054,26.83448587,11.08333333,315,3,Summer,All
94.12698667,28.3282443,3,90,2,Summer,All
94.17770668,31.00567137,2.333333333,180,2,Summer,All
94.22844342,34.07221935,8.291666667,180,3,Summer,All
94.17920864,37.7123854,6.208333333,180,3,Summer,All
94.04849221,17.58466818,6.166666667,90,1,Summer,All
94.0991863,21.61533729,6.958333333,270,2,Summer,All
94.13907792,24.30199454,3.5,0,1,Summer,All
94.152219,26.79451482,3.833333333,270,2,Summer,All
94.15680371,16.83136752,4.208333333,270,1,Summer,All
94.19957603,19.82417068,5,90,1,Summer,All
94.17747342,22.01348033,7.875,90,2,Summer,All
94.11874302,13.71541431,6.333333333,180,1,Summer,All
94.11451774,15.2174893,4.458333333,0,1,Summer,All
94.16523362,17.81211301,2.375,315,1,Summer,All
94.16977368,20.30404083,3.583333333,270,1,Summer,All
94.2205078,23.89906494,4.125,225,2,Summer,All
94.16230966,24.72382694,8.416666667,180,2,Summer,All
94.18161825,27.24386388,4.291666667,90,2,Summer,All
94.23235629,30.03665296,7.625,135,2,Summer,All
94.14113191,18.8444146,10.66666667,180,2,Summer,All
94.13240935,21.90386849,9.375,180,2,Summer,All
94.14826606,25.52440791,10.20833333,180,3,Summer,All
93.99811413,27.32482861,6.208333333,135,2,Summer,All
94.04879158,19.42820934,9.208333333,180,2,Summer,All
93.98510866,11.22237732,12.08333333,180,1,Summer,All
94.03578182,14.56965305,8,225,1,Summer,All
94.08647171,17.06325561,9.458333333,270,2,Summer,All
94.11529811,18.4891698,4,180,1,Summer,All
94.11692206,10.87279804,5.583333333,315,1,Summer,All
94.15319644,13.09290477,3.791666667,0,1,Summer,All
94.13986552,14.96844476,7.708333333,180,1,Summer,All
94.19058978,17.4086956,6.75,180,1,Summer,All
94.14078191,11.48158531,8.875,270,1,Summer,All
94.19205136,9.468567853,7.541666667,180,1,Summer,All
93.78025474,10.05619368,9.041666667,90,1,Summer,All
91.44888053,16.3290533,13.25,90,1,Spring,All
91.49871636,17.84298582,6.625,45,1,Spring,All
91.54856864,17.36317009,7.5,0,1,Spring,All
91.59843738,18.46649383,8.25,0,1,Spring,All
91.89799574,18.43168693,6.083333333,315,1,Summer,All
91.94797984,20.51243356,7.583333333,180,1,Summer,All
91.99798044,22.88904222,10.375,180,1,Summer,All
92.04799755,25.25794196,5.5,90,1,Summer,All
92.09803117,27.09496461,3.291666667,90,1,Summer,All
92.14808132,29.10144151,4.041666667,180,1,Summer,All
92.19814798,31.89162771,6.375,180,2,Summer,All
93.12597079,29.75300114,6.333333333,180,2,Summer,All
93.17636031,33.33569605,8.708333333,90,2,Summer,All
93.83790435,31.15611709,11,180,3,Summer,All
93.88852891,29.11552192,4.833333333,0,2,Summer,All
93.93917019,32.07875067,3.708333333,90,2,Summer,All
93.98982818,34.5403626,5.75,90,2,Summer,All
94.0405029,38.04176074,7.583333333,180,3,Summer,All
94.09119435,41.58915995,6.416666667,135,3,Summer,All
94.14190254,45.0988934,8.583333333,180,4,Summer,All
94.19262747,48.49766148,7.166666667,180,4,Summer,All
94.18325977,46.80776097,6.5,180,3,Summer,All
94.08818174,35.68654236,3.25,270,2,Summer,All
94.11358875,37.14074645,11,0,4,Summer,All
94.16430433,38.95448272,5.416666667,0,3,Summer,All
94.16688225,40.91388315,10.375,270,4,Summer,All
94.20483699,43.84662556,2.458333333,0,2,Summer,All
94.14855968,42.13380184,4.041666667,180,3,Summer,All
94.1992868,45.24520302,8.583333333,315,4,Summer,All
94.24774895,47.98804398,6,180,3,Summer,All
94.20911892,27.27155098,8.583333333,180,2,Summer,All
94.21685092,30.600426,3.541666667,270,2,Summer,All
94.20048957,34.48488799,6.541666667,270,3,Summer,All
94.19855186,38.44396945,7.166666667,0,3,Summer,All
94.23803,40.45613632,8.708333333,45,4,Summer,All
94.27492838,42.55881727,3.75,270,3,Summer,All
94.17100563,22.84107915,4.458333333,180,1,Summer,All
92.47213607,23.55537683,5.041666667,90,1,Summer,All
92.57249994,15.77404382,15.375,270,2,Summer,All
92.62270673,16.76072327,11.16666667,0,1,Summer,All
92.67293009,18.79251385,2.75,0,1,Summer,All
92.72317004,21.63454212,8.75,180,1,Summer,All
92.77342657,12.90423271,9.541666667,180,1,Summer,All
92.82369969,10.00257843,10.66666667,180,1,Summer,All
92.87398942,12.58978232,12.91666667,0,1,Summer,All
92.92429574,15.59424933,4.75,315,1,Summer,All
92.97461868,18.93443852,3.416666667,90,1,Summer,All
93.02495822,22.29820378,5.875,45,1,Summer,All
93.07531439,25.91996236,5.833333333,90,1,Summer,All
93.12568718,29.20220357,3.583333333,90,1,Summer,All
93.17607661,33.12477267,4.833333333,180,2,Summer,All
93.22648267,22.55807934,4.833333333,180,1,Summer,All
93.32046387,18.84584797,5.708333333,270,1,Summer,All
93.3709176,23.55652364,14.20833333,270,3,Summer,All
93.42138799,25.6829677,10.58333333,270,2,Summer,All
93.47187504,27.59088785,7.958333333,0,2,Summer,All
93.52237876,29.69870844,5.458333333,0,2,Summer,All
93.57289915,32.19216535,6.083333333,315,2,Summer,All
93.62343622,26.24600564,3.541666667,180,1,Summer,All
93.67398997,29.51165646,5,180,2,Summer,All
93.72456042,27.16603086,5.333333333,225,2,Summer,All
93.77514756,25.64253389,5.791666667,180,2,Summer,All
93.8257514,19.6925178,7.291666667,270,1,Summer,All
93.87637195,22.44430893,7.416666667,135,2,Summer,All
93.92700922,20.22302072,7.708333333,270,2,Summer,All
93.9776632,16.36624629,7.458333333,270,1,Summer,All
94.0283339,12.09726279,4.666666667,270,1,Summer,All
94.04528355,7.221525281,11.08333333,270,1,Summer,All
94.09597658,10.69353439,4.583333333,270,1,Summer,All
94.14454062,11.92227381,5.25,180,1,Summer,All
94.16997549,15.54932317,5.208333333,270,1,Summer,All
94.16523104,7.892037182,10.83333333,180,1,Summer,All
94.15554524,10.33211613,8.25,270,1,Summer,All
92.36811093,18.40446508,7.333333333,180,1,Summer,All
92.41825024,21.21711262,7.958333333,270,1,Summer,All
92.4684061,23.52763888,8.583333333,270,1,Summer,All
